City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,20.64,62,72,10.02,PN,1690949990
1,namsos,64.4662,11.4957,14.03,88,34,4.12,NO,1690949990
2,ippy,6.2679,21.2247,19.75,96,100,0.87,CF,1690949990
3,bethel,41.3712,-73.414,18.05,79,0,2.06,US,1690949941
4,port-aux-francais,-49.35,70.2167,3.53,78,92,19.25,TF,1690949991
5,invercargill,-46.4,168.35,6.68,72,86,4.47,NZ,1690949991
6,yellowknife,62.456,-114.3525,20.29,45,75,2.06,CA,1690949991
7,kuanda,56.3161,116.0806,18.47,76,100,0.11,RU,1690949991
8,remire-montjoly,4.9167,-52.2667,23.02,100,0,0.0,GF,1690949991
9,puerto natales,-51.7236,-72.4875,0.73,65,100,9.2,CL,1690949706
10,port saint john,28.477,-80.7887,26.77,89,1,0.89,US,1690949991
11,vikulovo,56.8167,70.6107,20.17,78,67,4.42,RU,1690949992
12,wailua homesteads,22.0669,-159.378,28.24,78,75,8.23,US,1690949992
13,waitangi,-43.9535,-176.5597,10.46,91,100,4.02,NZ,1690949992
14,olonkinbyen,70.9221,-8.7187,5.62,94,56,2.99,SJ,1690949992
15,chonchi,-42.6128,-73.8092,5.62,84,86,3.98,CL,1690949992
16,punta arenas,-53.15,-70.9167,-0.66,68,64,9.89,CL,1690949784
17,st. john's,47.5649,-52.7093,15.08,95,20,4.12,CA,1690949840
18,albany,42.6001,-73.9662,14.34,84,53,0.45,US,1690949993
19,naze,28.3667,129.4833,27.51,91,100,14.69,JP,1690949993
20,longyearbyen,78.2186,15.6401,8.91,76,0,1.54,SJ,1690949993
21,port mathurin,-19.6833,63.4167,23.43,68,0,8.93,MU,1690949993
22,hasaki,35.7333,140.8333,35.22,77,40,8.24,JP,1690949993
23,ushuaia,-54.8,-68.3,-3.19,93,75,9.77,AR,1690949993
24,corte,42.25,9.25,23.22,75,0,3.82,FR,1690949994
25,lerwick,60.1545,-1.1494,12.0,95,100,4.31,GB,1690949994
26,rafraf,37.1904,10.1837,25.17,73,27,6.41,TN,1690949994
27,edinburgh of the seven seas,-37.0676,-12.3116,13.7,88,100,10.91,SH,1690949994
28,blackmans bay,-43.0167,147.3167,14.29,62,15,1.94,AU,1690949994
29,puerto ayora,-0.7393,-90.3518,24.19,94,37,0.89,EC,1690949994
30,emkhomazi,-30.2067,30.7978,13.01,68,25,2.41,ZA,1690949994
31,tura,25.5198,90.2201,28.51,76,100,4.05,IN,1690949995
32,ternate,0.8,127.4,28.25,77,14,3.7,ID,1690949995
33,kpandu,6.9954,0.2931,22.95,96,100,3.83,GH,1690949995
34,fort st. john,56.2499,-120.8529,14.94,88,75,4.12,CA,1690949920
35,colonia,50.9333,6.95,16.57,86,20,3.6,DE,1690949995
36,greymouth,-42.4667,171.2,8.22,66,53,1.02,NZ,1690949995
37,grand falls-windsor,48.9332,-55.6649,14.17,93,19,2.5,CA,1690949995
38,hermanus,-34.4187,19.2345,7.11,72,1,3.69,ZA,1690949996
39,sao miguel do araguaia,-13.275,-50.1628,23.32,34,1,2.15,BR,1690949996
40,codrington,-38.2667,141.9667,15.47,68,0,6.84,AU,1690949996
41,cabo san lucas,22.8909,-109.9124,31.4,74,34,1.31,MX,1690949919
42,margaret river,-33.95,115.0667,11.58,95,100,8.54,AU,1690949996
43,ambon,-3.6954,128.1814,26.75,80,24,6.41,ID,1690949996
44,ribeira grande,38.5167,-28.7,22.65,88,100,0.89,PT,1690949996
45,east london,-33.0153,27.9116,11.52,71,0,3.09,ZA,1690949997
46,hamilton,39.1834,-84.5333,22.16,79,0,4.12,US,1690949997
47,port saint john's,-31.6229,29.5448,12.53,78,13,2.89,ZA,1690949997
48,ga-kgapane,-23.6333,30.2167,11.85,75,100,2.75,ZA,1690949997
49,nova vicosa,-17.8919,-39.3719,20.6,79,0,2.95,BR,1690949997
50,fada,9.5667,8.3,20.35,98,100,2.25,NG,1690949997
51,sidney,-33.8679,151.2073,19.23,64,75,4.12,AU,1690949871
52,hobbs,32.7026,-103.136,27.33,54,100,5.14,US,1690949717
53,hadibu,12.65,54.0333,26.76,75,80,12.65,YE,1690949998
54,wewak,-3.5534,143.6268,29.53,71,44,5.13,PG,1690949998
55,ceerigaabo,10.6162,47.368,16.61,68,100,8.79,SO,1690949998
56,lycksele,64.5954,18.6735,13.93,100,100,1.03,SE,1690949974
57,caconda,-13.7333,15.0667,11.56,31,70,2.21,AO,1690949998
58,puerto baquerizo moreno,-0.9,-89.6,24.49,77,65,3.65,EC,1690949999
59,yelizovo,53.1873,158.3805,20.08,64,20,7.15,RU,1690949999
60,celestun,20.8667,-90.4,26.46,85,14,4.12,MX,1690949999
61,lebu,-37.6167,-73.65,9.35,85,12,2.15,CL,1690949999
62,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,64,20,7.0,RU,1690950000
63,saipan,15.1355,145.701,28.69,100,20,2.06,MP,1690950000
64,grytviken,-54.2811,-36.5092,-2.81,93,100,1.01,GS,1690950000
65,bredasdorp,-34.5322,20.0403,5.85,85,0,1.7,ZA,1690950001
66,coquimbo,-29.9533,-71.3436,12.85,100,100,2.57,CL,1690950001
67,mili,6.0815,171.735,28.37,71,6,0.89,MH,1690950002
68,gebeit,21.0667,36.3167,29.65,34,29,2.42,SD,1690950002
69,fortuna,40.5982,-124.1573,14.64,90,8,1.34,US,1690949743
70,ceska kamenice,50.7978,14.4177,14.91,95,21,2.24,CZ,1690950003
71,viedma,-40.8135,-62.9967,13.3,33,40,7.95,AR,1690949802
72,el calafate,-50.3408,-72.2768,-3.97,78,56,3.41,AR,1690950003
73,udachny,66.4167,112.4,25.25,38,76,4.19,RU,1690950004
74,iqaluit,63.7506,-68.5145,4.85,93,20,3.09,CA,1690950004
75,hammerfest,70.6634,23.6821,16.25,72,20,4.12,NO,1690950004
76,chavusy,53.8075,30.9712,16.92,92,55,3.43,BY,1690950004
77,guatire,10.4762,-66.5427,23.23,93,1,1.63,VE,1690949755
78,new norfolk,-42.7826,147.0587,14.95,55,43,2.19,AU,1690950005
79,stung treng,13.5259,105.9683,26.2,91,100,1.27,KH,1690950005
80,timbuktu,16.7735,-3.0074,29.95,50,100,8.17,ML,1690950005
81,weno,7.4515,151.8468,31.97,74,75,1.54,FM,1690950005
82,college,64.8569,-147.8028,25.32,46,40,4.63,US,1690950006
83,minas de marcona,-15.2119,-75.1103,13.08,87,41,3.69,PE,1690950006
84,tolanaro,-25.0319,46.9987,19.14,75,96,3.6,MG,1690950006
85,hithadhoo,-0.6,73.0833,27.29,71,92,1.25,MV,1690950006
86,omutinskiy,56.4745,67.6709,21.75,64,89,3.43,RU,1690950007
87,labrador city,52.9463,-66.9114,9.95,93,100,2.06,CA,1690949954
88,graaff-reinet,-32.2522,24.5308,7.23,48,9,2.24,ZA,1690950007
89,utrik,11.2278,169.8474,28.4,77,72,6.76,MH,1690950007
90,seymour,38.9592,-85.8903,21.51,87,98,2.95,US,1690950007
91,qaqortoq,60.7167,-46.0333,6.11,85,20,0.72,GL,1690950008
92,pachino,36.7186,15.0907,24.99,70,0,2.68,IT,1690950008
93,geraldton,-28.7667,114.6,20.23,68,100,10.29,AU,1690950008
94,valparaiso,-33.0393,-71.6273,16.8,66,0,1.03,CL,1690949797
95,warmbad,-28.45,18.7333,8.22,30,0,6.18,NA,1690950009
96,jilib,0.4883,42.7854,24.18,81,100,4.08,SO,1690950009
97,dudinka,69.4058,86.1778,20.9,52,1,10.72,RU,1690950009
98,vila velha,-20.3297,-40.2925,19.41,95,75,1.03,BR,1690950009
99,stanley,54.868,-1.6985,13.21,92,75,2.06,GB,1690950009
100,gargalianoi,37.0667,21.6333,24.09,68,0,2.71,GR,1690950009
101,ilulissat,69.2167,-51.1,5.01,100,100,0.0,GL,1690950010
102,magadi,12.9667,77.2333,26.32,68,100,8.34,IN,1690950010
103,port alfred,-33.5906,26.891,12.33,74,13,3.23,ZA,1690950010
104,vangaindrano,-23.35,47.6,19.24,78,75,6.22,MG,1690950010
105,merizo village,13.2658,144.6691,30.85,86,100,0.85,GU,1690950010
106,detroit lakes,46.8172,-95.8453,19.36,92,40,2.57,US,1690949852
107,tateyama,34.9833,139.8667,28.46,78,39,6.51,JP,1690950011
108,usinsk,65.9939,57.5281,21.16,55,73,6.4,RU,1690950011
